threshold,max fairness violation,sigma gnmax,sigma threshold,budget,achieved budget,accuracy,fairness disparity gaps,expected number answered,number answered,sensitive accuracy
110.0,0.0,20.0,110.0,10.0,2.2575480957856318,88.19672131147541,0.0247844816554883,310.541367762053,305,[88.81987578 87.5       ]
110.0,0.05,20.0,110.0,10.0,2.8534791172493605,90.34749034749035,0.049266482195888986,510.1416167770696,518,[89.39393939 91.33858268]
110.0,0.15,20.0,110.0,10.0,3.294703319561267,91.48936170212765,0.11086781443027588,648.9474961719218,658,[89.56521739 93.61022364]
110.0,0.2,20.0,110.0,10.0,3.2965628296965934,91.55354449472097,0.1118119231349838,653.5399443385946,663,[91.35446686 91.7721519 ]
110.0,0.25,20.0,110.0,10.0,3.2965628296965934,91.55354449472097,0.1118119231349838,653.5399443385946,663,[91.35446686 91.7721519 ]
110.0,0.3,20.0,110.0,10.0,3.2965628296965934,91.55354449472097,0.1118119231349838,653.5399443385946,663,[91.35446686 91.7721519 ]
110.0,0.35,20.0,110.0,10.0,3.2965628296965934,91.55354449472097,0.1118119231349838,653.5399443385946,663,[91.35446686 91.7721519 ]
110.0,0.4,20.0,110.0,10.0,3.2965628296965934,91.55354449472097,0.1118119231349838,653.5399443385946,663,[91.35446686 91.7721519 ]
110.0,0.45,20.0,110.0,10.0,3.2965628296965934,91.55354449472097,0.1118119231349838,653.5399443385946,663,[91.35446686 91.7721519 ]
110.0,0.5,20.0,110.0,10.0,3.2965628296965934,91.55354449472097,0.1118119231349838,653.5399443385946,663,[91.35446686 91.7721519 ]
120.0,0.0,20.0,110.0,10.0,2.2580626367362653,88.48684210526316,0.025374104223063146,308.4779468897722,304,[88.75       88.19444444]
120.0,0.05,20.0,110.0,10.0,2.806903149024386,90.32921810699588,0.04933457421774966,486.2805570719446,486,[89.51612903 91.17647059]
120.0,0.1,20.0,110.0,10.0,3.125414132165132,91.63879598662207,0.0975842132890129,599.6172035775592,598,[92.60450161 90.59233449]
120.0,0.15,20.0,110.0,10.0,3.1574866924289333,91.84,0.11226497937735908,617.2924353078633,625,[91.76829268 91.91919192]
120.0,0.2,20.0,110.0,10.0,3.1669034319159435,91.87898089171975,0.11083573339243068,621.3628717514827,628,[91.76829268 92.        ]
120.0,0.25,20.0,110.0,10.0,3.1669034319159435,91.87898089171975,0.11083573339243068,621.3628717514827,628,[91.76829268 92.        ]
120.0,0.3,20.0,110.0,10.0,3.1669034319159435,91.87898089171975,0.11083573339243068,621.3628717514827,628,[91.76829268 92.        ]
120.0,0.35,20.0,110.0,10.0,3.1669034319159435,91.87898089171975,0.11083573339243068,621.3628717514827,628,[91.76829268 92.        ]
120.0,0.4,20.0,110.0,10.0,3.1669034319159435,91.87898089171975,0.11083573339243068,621.3628717514827,628,[91.76829268 92.        ]
120.0,0.45,20.0,110.0,10.0,3.1669034319159435,91.87898089171975,0.11083573339243068,621.3628717514827,628,[91.76829268 92.        ]
120.0,0.5,20.0,110.0,10.0,3.1669034319159435,91.87898089171975,0.11083573339243068,621.3628717514827,628,[91.76829268 92.        ]
130.0,0.0,20.0,110.0,10.0,2.2321864230746202,88.15789473684211,0.025374104223063146,307.46294130198345,304,[87.5        88.88888889]
130.0,0.05,20.0,110.0,10.0,2.6808004537889105,90.5701754385965,0.04926108173047765,459.3506995280618,456,[91.34199134 89.77777778]
130.0,0.1,20.0,110.0,10.0,2.980004266822956,91.54676258992805,0.09787648257428078,566.3438665568364,556,[90.84507042 92.27941176]
130.0,0.15,20.0,110.0,10.0,3.0305005360411887,91.82608695652173,0.10696969290817279,583.8030779680734,575,[91.94630872 91.6967509 ]
130.0,0.2,20.0,110.0,10.0,3.0395790675799974,91.84027777777777,0.10715795424669494,588.2998254191469,576,[91.97324415 91.6967509 ]
130.0,0.25,20.0,110.0,10.0,3.0395790675799974,91.84027777777777,0.10715795424669494,588.2998254191469,576,[91.97324415 91.6967509 ]
130.0,0.3,20.0,110.0,10.0,3.0395790675799974,91.84027777777777,0.10715795424669494,588.2998254191469,576,[91.97324415 91.6967509 ]
130.0,0.35,20.0,110.0,10.0,3.0395790675799974,91.84027777777777,0.10715795424669494,588.2998254191469,576,[91.97324415 91.6967509 ]
130.0,0.4,20.0,110.0,10.0,3.0395790675799974,91.84027777777777,0.10715795424669494,588.2998254191469,576,[91.97324415 91.6967509 ]
130.0,0.45,20.0,110.0,10.0,3.0395790675799974,91.84027777777777,0.10715795424669494,588.2998254191469,576,[91.97324415 91.6967509 ]
130.0,0.5,20.0,110.0,10.0,3.0395790675799974,91.84027777777777,0.10715795424669494,588.2998254191469,576,[91.97324415 91.6967509 ]
140.0,0.0,20.0,110.0,10.0,2.18578368101604,88.0952380952381,0.03749999767361125,304.04327487196,294,[89.61038961 86.42857143]
140.0,0.05,20.0,110.0,10.0,2.5683135208844377,90.23255813953489,0.049117186446167846,433.20638439132847,430,[91.40271493 88.99521531]
140.0,0.1,20.0,110.0,10.0,2.8670453478972364,91.25475285171103,0.09375725489019787,533.2030329310198,526,[91.44981413 91.05058366]
140.0,0.15,20.0,110.0,10.0,2.908203305206767,91.59049360146253,0.1056453082833662,551.3136713570334,547,[91.72661871 91.44981413]
140.0,0.2,20.0,110.0,10.0,2.909859831098096,91.60583941605839,0.10586460117027749,554.5747715828054,548,[90.32258065 92.93680297]
140.0,0.25,20.0,110.0,10.0,2.909859831098096,91.60583941605839,0.10586460117027749,554.5747715828054,548,[90.32258065 92.93680297]
140.0,0.3,20.0,110.0,10.0,2.909859831098096,91.60583941605839,0.10586460117027749,554.5747715828054,548,[90.32258065 92.93680297]
140.0,0.35,20.0,110.0,10.0,2.909859831098096,91.60583941605839,0.10586460117027749,554.5747715828054,548,[90.32258065 92.93680297]
140.0,0.4,20.0,110.0,10.0,2.909859831098096,91.60583941605839,0.10586460117027749,554.5747715828054,548,[90.32258065 92.93680297]
140.0,0.45,20.0,110.0,10.0,2.909859831098096,91.60583941605839,0.10586460117027749,554.5747715828054,548,[90.32258065 92.93680297]
140.0,0.5,20.0,110.0,10.0,2.909859831098096,91.60583941605839,0.10586460117027749,554.5747715828054,548,[90.32258065 92.93680297]
150.0,0.0,20.0,110.0,10.0,2.173170551724481,88.66666666666667,0.03260433665257613,299.29469002426777,300,[89.87341772 87.32394366]
150.0,0.05,20.0,110.0,10.0,2.4722765800806137,90.75425790754258,0.048983843589852624,405.6673881240117,411,[93.30143541 88.11881188]
150.0,0.1,20.0,110.0,10.0,2.7396851833262374,91.4,0.09238571854249164,499.4430345843372,500,[91.76470588 91.02040816]
150.0,0.15,20.0,110.0,10.0,2.781062173680729,91.5057915057915,0.11099989071844503,517.386053660311,518,[91.28787879 91.73228346]
150.0,0.2,20.0,110.0,10.0,2.782718471402095,91.52215799614643,0.11121695169659457,520.4264819805958,519,[93.20754717 89.76377953]
150.0,0.25,20.0,110.0,10.0,2.782718471402095,91.52215799614643,0.11121695169659457,520.4264819805958,519,[93.20754717 89.76377953]
150.0,0.3,20.0,110.0,10.0,2.782718471402095,91.52215799614643,0.11121695169659457,520.4264819805958,519,[93.20754717 89.76377953]
150.0,0.35,20.0,110.0,10.0,2.782718471402095,91.52215799614643,0.11121695169659457,520.4264819805958,519,[93.20754717 89.76377953]
150.0,0.4,20.0,110.0,10.0,2.782718471402095,91.52215799614643,0.11121695169659457,520.4264819805958,519,[93.20754717 89.76377953]
150.0,0.45,20.0,110.0,10.0,2.782718471402095,91.52215799614643,0.11121695169659457,520.4264819805958,519,[93.20754717 89.76377953]
150.0,0.5,20.0,110.0,10.0,2.782718471402095,91.52215799614643,0.11121695169659457,520.4264819805958,519,[93.20754717 89.76377953]
160.0,0.0,20.0,110.0,10.0,2.140003361963852,88.62068965517241,0.03857906599124832,295.72434824836597,290,[91.50326797 85.40145985]
160.0,0.05,20.0,110.0,10.0,2.4119689181684345,90.59139784946237,0.049624057703831714,379.25956748824024,372,[94.21052632 86.81318681]
160.0,0.1,20.0,110.0,10.0,2.616722692189585,91.18942731277534,0.09559166082284735,465.89784766210295,454,[93.88646288 88.44444444]
160.0,0.15,20.0,110.0,10.0,2.654810375333134,91.42259414225941,0.10946475631845409,483.6744882261831,478,[92.56198347 90.25423729]
160.0,0.2,20.0,110.0,10.0,2.656215345675024,91.42259414225941,0.10946475631845409,486.10353373269226,478,[92.56198347 90.25423729]
160.0,0.25,20.0,110.0,10.0,2.656215345675024,91.42259414225941,0.10946475631845409,486.10353373269226,478,[92.56198347 90.25423729]
160.0,0.3,20.0,110.0,10.0,2.656215345675024,91.42259414225941,0.10946475631845409,486.10353373269226,478,[92.56198347 90.25423729]
160.0,0.35,20.0,110.0,10.0,2.656215345675024,91.42259414225941,0.10946475631845409,486.10353373269226,478,[92.56198347 90.25423729]
160.0,0.4,20.0,110.0,10.0,2.656215345675024,91.42259414225941,0.10946475631845409,486.10353373269226,478,[92.56198347 90.25423729]
160.0,0.45,20.0,110.0,10.0,2.656215345675024,91.42259414225941,0.10946475631845409,486.10353373269226,478,[92.56198347 90.25423729]
160.0,0.5,20.0,110.0,10.0,2.656215345675024,91.42259414225941,0.10946475631845409,486.10353373269226,478,[92.56198347 90.25423729]
170.0,0.0,20.0,110.0,10.0,2.1119192430981304,90.35714285714286,0.04189043796771364,291.2433679711063,280,[89.58333333 91.17647059]
170.0,0.05,20.0,110.0,10.0,2.3010677820823835,91.47058823529412,0.04930555216531658,351.5258243638894,340,[92.22222222 90.625     ]
170.0,0.1,20.0,110.0,10.0,2.4904884965749874,92.53012048192771,0.09678325041788408,431.50965473307275,415,[94.31279621 90.68627451]
170.0,0.15,20.0,110.0,10.0,2.5325868334778154,92.48291571753987,0.11006864441020678,450.1608174766481,439,[94.14414414 90.78341014]
170.0,0.2,20.0,110.0,10.0,2.533640563308549,92.48291571753987,0.11006864441020678,451.85893223966565,439,[94.14414414 90.78341014]
170.0,0.25,20.0,110.0,10.0,2.533640563308549,92.48291571753987,0.11006864441020678,451.85893223966565,439,[94.14414414 90.78341014]
170.0,0.3,20.0,110.0,10.0,2.533640563308549,92.48291571753987,0.11006864441020678,451.85893223966565,439,[94.14414414 90.78341014]
170.0,0.35,20.0,110.0,10.0,2.533640563308549,92.48291571753987,0.11006864441020678,451.85893223966565,439,[94.14414414 90.78341014]
170.0,0.4,20.0,110.0,10.0,2.533640563308549,92.48291571753987,0.11006864441020678,451.85893223966565,439,[94.14414414 90.78341014]
170.0,0.45,20.0,110.0,10.0,2.533640563308549,92.48291571753987,0.11006864441020678,451.85893223966565,439,[94.14414414 90.78341014]
170.0,0.5,20.0,110.0,10.0,2.533640563308549,92.48291571753987,0.11006864441020678,451.85893223966565,439,[94.14414414 90.78341014]
180.0,0.0,20.0,110.0,10.0,2.0539132621773386,90.44117647058823,0.045314273550168996,282.3445711793616,272,[91.54929577 89.23076923]
180.0,0.05,20.0,110.0,10.0,2.207484758314826,91.53605015673982,0.05361231342189952,326.3909686757493,319,[92.30769231 90.66666667]
180.0,0.1,20.0,110.0,10.0,2.3692566483946447,92.56410256410257,0.09616152379984676,398.0148859726135,390,[91.54228856 93.65079365]
180.0,0.15,20.0,110.0,10.0,2.411910455006677,92.45742092457421,0.11653276919357103,416.886810686938,411,[93.30143541 91.58415842]
180.0,0.2,20.0,110.0,10.0,2.4126542679615044,92.45742092457421,0.11653276919357103,417.944548882303,411,[93.30143541 91.58415842]
180.0,0.25,20.0,110.0,10.0,2.4126542679615044,92.45742092457421,0.11653276919357103,417.944548882303,411,[93.30143541 91.58415842]
180.0,0.3,20.0,110.0,10.0,2.4126542679615044,92.45742092457421,0.11653276919357103,417.944548882303,411,[93.30143541 91.58415842]
180.0,0.35,20.0,110.0,10.0,2.4126542679615044,92.45742092457421,0.11653276919357103,417.944548882303,411,[93.30143541 91.58415842]
180.0,0.4,20.0,110.0,10.0,2.4126542679615044,92.45742092457421,0.11653276919357103,417.944548882303,411,[93.30143541 91.58415842]
180.0,0.45,20.0,110.0,10.0,2.4126542679615044,92.45742092457421,0.11653276919357103,417.944548882303,411,[93.30143541 91.58415842]
180.0,0.5,20.0,110.0,10.0,2.4126542679615044,92.45742092457421,0.11653276919357103,417.944548882303,411,[93.30143541 91.58415842]
190.0,0.0,20.0,110.0,10.0,1.9974497230362394,90.69767441860465,0.04078195216737199,272.21405737440773,258,[91.91176471 89.3442623 ]
190.0,0.05,20.0,110.0,10.0,2.1012558724079886,91.42857142857143,0.05029645875945156,301.76505595524304,280,[93.75       88.97058824]
190.0,0.1,20.0,110.0,10.0,2.2572376185760463,92.98245614035088,0.09312499310807343,366.31352175557794,342,[93.92265193 91.92546584]
190.0,0.15,20.0,110.0,10.0,2.2965779845045593,93.0939226519337,0.11904834163304384,383.5512175150704,362,[94.17989418 91.90751445]
190.0,0.2,20.0,110.0,10.0,2.2973631086020765,93.1129476584022,0.1194757621549214,384.6055760541065,363,[94.17989418 91.95402299]
190.0,0.25,20.0,110.0,10.0,2.2973631086020765,93.1129476584022,0.1194757621549214,384.6055760541065,363,[94.17989418 91.95402299]
190.0,0.3,20.0,110.0,10.0,2.2973631086020765,93.1129476584022,0.1194757621549214,384.6055760541065,363,[94.17989418 91.95402299]
190.0,0.35,20.0,110.0,10.0,2.2973631086020765,93.1129476584022,0.1194757621549214,384.6055760541065,363,[94.17989418 91.95402299]
190.0,0.4,20.0,110.0,10.0,2.2973631086020765,93.1129476584022,0.1194757621549214,384.6055760541065,363,[94.17989418 91.95402299]
190.0,0.45,20.0,110.0,10.0,2.2973631086020765,93.1129476584022,0.1194757621549214,384.6055760541065,363,[94.17989418 91.95402299]
190.0,0.5,20.0,110.0,10.0,2.2973631086020765,93.1129476584022,0.1194757621549214,384.6055760541065,363,[94.17989418 91.95402299]
200.0,0.0,20.0,110.0,10.0,1.950572779050895,91.09311740890688,0.05293191258416441,262.1067946336766,247,[91.47286822 90.6779661 ]
200.0,0.05,20.0,110.0,10.0,1.989700547094042,91.37254901960785,0.0570321105308301,278.9748320166101,255,[89.55223881 93.38842975]
200.0,0.1,20.0,110.0,10.0,2.140094653184118,92.50814332247558,0.09626583695031994,335.2840445990366,307,[92.59259259 92.4137931 ]
200.0,0.15,20.0,110.0,10.0,2.185069310948574,93.03030303030303,0.12573173944572172,351.1829185470303,330,[94.25287356 91.66666667]
200.0,0.2,20.0,110.0,10.0,2.1858546342563243,93.05135951661632,0.12464329324031195,352.0752025469081,331,[94.25287356 91.71974522]
200.0,0.25,20.0,110.0,10.0,2.1858546342563243,93.05135951661632,0.12464329324031195,352.0752025469081,331,[94.25287356 91.71974522]
200.0,0.3,20.0,110.0,10.0,2.1858546342563243,93.05135951661632,0.12464329324031195,352.0752025469081,331,[94.25287356 91.71974522]
200.0,0.35,20.0,110.0,10.0,2.1858546342563243,93.05135951661632,0.12464329324031195,352.0752025469081,331,[94.25287356 91.71974522]
200.0,0.4,20.0,110.0,10.0,2.1858546342563243,93.05135951661632,0.12464329324031195,352.0752025469081,331,[94.25287356 91.71974522]
200.0,0.45,20.0,110.0,10.0,2.1858546342563243,93.05135951661632,0.12464329324031195,352.0752025469081,331,[94.25287356 91.71974522]
200.0,0.5,20.0,110.0,10.0,2.1858546342563243,93.05135951661632,0.12464329324031195,352.0752025469081,331,[94.25287356 91.71974522]
