achieved epsilon,fairness gap,query fairness gap,number answered,student accuracy,coverage,sigma1,sigma2,threshold
8.929195178413387e-01,0.010422239020800195,0.9999900000999989,2,48.56128550074738,0.8988915015115888,30.0,10.0,30.0
1.976982165645287e+00,0.007722000531281581,0.5499902250998865,21,61.80053292729349,0.8824319785018475,30.0,10.0,30.0
2.995286727913771e+00,0.010802872650846285,0.5952281917099533,43,65.26461295418642,0.8505206583809204,30.0,10.0,30.0
3.998260378260814e+00,0.010755118413881659,0.3069822719554042,80,65.59587547094984,0.8469936177359758,30.0,10.0,30.0
4.99772845541838e+00,0.010631345603221931,0.263304856138894,116,68.36551861437388,0.8436345314074571,30.0,10.0,30.0
5.978258149108375e+00,0.0108809535319771,0.21699308504160741,152,67.34494228135394,0.8584145112529392,30.0,10.0,30.0
6.991908019267573e+00,0.010413892298078209,0.1447737780142872,201,68.4190031152648,0.8626133691635876,30.0,10.0,30.0
1.976982165645287e+00,0.04560984303631771,0.5499902250998865,21,61.91890947221251,0.9610345985891837,30.0,10.0,30.0
8.929195178413387e-01,0.04746851301596133,0.9999900000999989,2,48.62228307376348,0.9813570708767215,30.0,10.0,30.0
2.995286727913771e+00,0.04930464318569133,0.5952281917099533,43,65.43934542867306,0.9442391669465905,30.0,10.0,30.0
3.998260378260814e+00,0.05053951064644652,0.3069822719554042,80,65.24446072147958,0.9171985220020155,30.0,10.0,30.0
4.99772845541838e+00,0.050791463638311274,0.263304856138894,116,68.32844574780059,0.9163587504198858,30.0,10.0,30.0
5.978258149108375e+00,0.04946425700215429,0.21699308504160741,152,67.0995670995671,0.9311387302653679,30.0,10.0,30.0
6.986153182610369e+00,0.049634809990466155,0.19361011891312474,204,68.52377572746629,0.9465905273765536,30.0,10.0,30.0
1.976982165645287e+00,0.0909229192391352,0.5499902250998865,21,61.976351351351354,0.9942895532415184,30.0,10.0,30.0
8.929195178413387e-01,0.05481900489201463,0.9999900000999989,2,48.67316090023514,1.0,30.0,10.0,30.0
2.995286727913771e+00,0.09107498021863422,0.5952281917099533,43,65.2329139748385,0.9879072892173328,30.0,10.0,30.0
3.998260378260814e+00,0.0974193503131277,0.3069822719554042,80,65.10860121633362,0.9665770910312395,30.0,10.0,30.0
4.99772845541838e+00,0.09639342375994098,0.263304856138894,116,68.3111954459203,0.9736311723211286,30.0,10.0,30.0
5.972505151048322e+00,0.09774238022084059,0.2902529124132614,154,68.49695916594266,0.9665770910312395,30.0,10.0,30.0
6.998540824649095e+00,0.09500497067036101,0.223717338833958,201,67.43625086147485,0.9748068525361102,30.0,10.0,30.0
8.989136238901585e+00,0.04751143257803092,0.0510022163033132,314,71.92479856759176,0.938024857238831,30.0,10.0,30.0
7.975187505405467e+00,0.048448297217241365,0.06246781491355613,244,70.83709998192009,0.9289553241518307,30.0,10.0,30.0
9.999822346288045e+00,0.04804342087184521,0.04671773429938997,396,73.71225577264654,0.945582801477998,30.0,10.0,30.0
1.976982165645287e+00,0.1001213090592542,0.5499902250998865,21,61.997645871868166,0.9988243197850185,30.0,10.0,30.0
8.929195178413387e-01,0.05481900489201463,0.9999900000999989,2,48.67316090023514,1.0,30.0,10.0,30.0
2.995286727913771e+00,0.09551880341155622,0.5952281917099533,43,65.23937963587323,0.9963050050386295,30.0,10.0,30.0
3.998260378260814e+00,0.1363381131314439,0.3069822719554042,80,65.07477906186269,0.9882431978501848,30.0,10.0,30.0
5.980393861995893e+00,0.13578505978515348,0.28269107871429916,156,69.71080669710807,0.9931138730265368,30.0,10.0,30.0
4.99772845541838e+00,0.12740022132951234,0.263304856138894,116,68.30175913396482,0.9929459187101108,30.0,10.0,30.0
6.9949025145092545e+00,0.12397059038778607,0.21328476498355214,203,67.10459828196059,0.9971447766207592,30.0,10.0,30.0
7.991459557706893e+00,0.09617701357616698,0.13603581693540878,247,72.30160096402135,0.9756466241182399,30.0,10.0,30.0
8.979619577065142e+00,0.09318865699053491,0.0863542012640438,315,71.99932283731167,0.9921061471279812,30.0,10.0,30.0
1.976982165645287e+00,0.10022118458663254,0.5499902250998865,21,62.004034969737724,0.9989922741014444,30.0,10.0,30.0
8.929195178413387e-01,0.05481900489201463,0.9999900000999989,2,48.67316090023514,1.0,30.0,10.0,30.0
2.995286727913771e+00,0.09591707462658089,0.5952281917099533,43,65.22616445266522,0.9988243197850185,30.0,10.0,30.0
9.990927812835473e+00,0.09501856725527258,0.09738417063997779,390,73.44709897610922,0.9842122942559623,30.0,10.0,30.0
3.998260378260814e+00,0.14047898499837136,0.3069822719554042,80,65.04037685060565,0.9983204568357407,30.0,10.0,30.0
5.984153785192309e+00,0.13775751592369745,0.2861340381384586,157,69.45754716981132,0.9969768223043333,30.0,10.0,30.0
4.99772845541838e+00,0.12992514594292381,0.263304856138894,116,68.24540704533963,0.9964729593550554,30.0,10.0,30.0
6.972706157463642e+00,0.15284462355717277,0.18324710231043412,200,67.77067921990584,0.9989922741014444,30.0,10.0,30.0
7.9778095004921e+00,0.14405798411180187,0.17294496570466444,243,72.07207207207207,0.9880752435337589,30.0,10.0,30.0
1.976982165645287e+00,0.1004208203782303,0.5499902250998865,21,62.016806722689076,0.9993281827342962,30.0,10.0,30.0
8.973705294357611e+00,0.11886861032584922,0.13773751546153173,303,69.59379740434856,0.9964729593550554,30.0,10.0,30.0
8.929195178413387e-01,0.05481900489201463,0.9999900000999989,2,48.67316090023514,1.0,30.0,10.0,30.0
2.995286727913771e+00,0.0958008625815075,0.5952281917099533,43,65.23785510169776,0.9991602284178703,30.0,10.0,30.0
3.998260378260814e+00,0.1413945024432714,0.3069822719554042,80,65.05295007564297,0.9991602284178703,30.0,10.0,30.0
9.997709610208467e+00,0.11876935486965101,0.12425095383878987,382,74.0154830023561,0.9979845482028888,30.0,10.0,30.0
5.984153785192309e+00,0.14742995478375415,0.28952816126219283,158,68.80888290713324,0.9983204568357407,30.0,10.0,30.0
4.99772845541838e+00,0.11800556336124468,0.267683305693832,117,67.45631720430107,0.9996640913671482,30.0,10.0,30.0
6.972706157463642e+00,0.148253980191836,0.2003742802537299,202,67.23790322580645,0.9996640913671482,30.0,10.0,30.0
1.976982165645287e+00,0.10071998624009182,0.5499902250998865,21,62.01915000839912,0.9998320456835741,30.0,10.0,30.0
8.929195178413387e-01,0.05481900489201463,0.9999900000999989,2,48.67316090023514,1.0,30.0,10.0,30.0
7.998641717424963e+00,0.1345385900010858,0.14418582771237193,240,71.37565246674524,0.997480685253611,30.0,10.0,30.0
2.995286727913771e+00,0.09599815342922771,0.5952281917099533,43,65.26704736311723,1.0,30.0,10.0,30.0
8.994970596649038e+00,0.14154637109961593,0.16813167406117352,303,69.17128929231804,0.9991602284178703,30.0,10.0,30.0
3.998260378260814e+00,0.14167968950280135,0.3069822719554042,80,65.06550218340611,1.0,30.0,10.0,30.0
9.989891030535677e+00,0.11459615202887619,0.1448158040114067,374,73.52743184113093,0.9979845482028888,30.0,10.0,30.0
5.984153785192309e+00,0.1497441305098331,0.28952816126219283,158,68.83400537634408,0.9996640913671482,30.0,10.0,30.0
4.99772845541838e+00,0.11811599679951162,0.267683305693832,117,67.45045347665435,1.0,30.0,10.0,30.0
6.972706157463642e+00,0.16539604946379038,0.20555530339517608,204,68.45817937520994,1.0,30.0,10.0,30.0
7.998641717424963e+00,0.13100786411700094,0.16168069599941226,242,71.79616548940464,0.9986563654685925,30.0,10.0,30.0
8.994970596649038e+00,0.09185500173785377,0.19274616220309349,306,70.25529056096741,1.0,30.0,10.0,30.0
